Title,Developer(s)
Majokko Cream-Chan Gokko Series 1: Wan Nyon Idol Gakuen,Culture Brain
Majjokko Cream-Chan no Gokko Series 2: Kisekae Angel (Kisekae Angel),Culture Brain
Major League Baseball 2K7,Skyworks Technologies
Manic Miner,Jester Interactive
Manga-ka Debut Monogatari: Akogare! Manga Ka Ikusei Game!,
"March of the Penguins NA, PAL • Die Reise der Pinguine DE",SkyRiver Studios
Mar Heaven: Knockin' on Heaven's Door,Alpha Unit
"Marie, Elie & Anis no Atelier: Soyokaze kara no Dengon",
"Mario & Luigi: Superstar Saga NA, PAL • Mario & Luigi RPG JP",AlphaDream
"Mario Golf: Advance Tour NA, PAL • Mario Golf: GBA Tour JP",Camelot Software Planning
"Mario Kart: Super Circuit NA, PAL • Mario Kart Advance JP",Intelligent Systems
Mario Party Advance,Hudson Soft / A.I
"Mario Pinball Land NA • Super Mario Ball PAL, JP",Fuse Games
Mario Tennis: Power Tour NA • Mario Tennis Advance JP • Mario Power Tennis PAL,Camelot Software Planning
Mario vs. Donkey Kong,Nintendo Software Technology
"Marvel: Ultimate Alliance NA, PAL • Marvel: La Grande Alleanza IT",Barking Lizards
Mary-Kate and Ashley: Girls Night Out,Powerhead Games
Mary-Kate and Ashley: Sweet 16 - Licensed to Drive,Powerhead Games
Masters of the Universe - He-man Power of Grayskull,Taniko
Mat Hoffman's Pro BMX,HotGen
Mat Hoffman's Pro BMX 2,HotGen
Matantei Loki Ragnarok: Gensou no Labyrinth,
Matchbox Cross Town Heroes,Magellan Interactive
"Matchbox Missions: Air, Land and Sea Rescue / Emergency Response",Gravity-I
Math Patrol: The Kleptoid Threat,GXB Interactive
Max Payne NA • Max Payne Advance PAL,Möbius Entertainment
Maya the Bee: Sweet Gold • Die Biene Maja: Süßes Gold DE,Shin'en
Maya the Bee: The Great Adventure PAL • Maya L'Abeille: La Grande Aventure FR • Die Biene Maja: Das Grosse Abenteuer DE • La Abeja Maya: Nuevas Aventuras ES • L'Ape Maia: La Grande Avventura IT,Shin'en
Mazes of Fate,Sabarasa Entertainment
Mech Platoon • Kikaika Gunta: Mech Platoon JP,Will
Medabots AX: Metabee Version • Medarot G: Kabuto Version JP,"Natsume Co., Ltd."
Medabots AX: Rokusho Version • Medarot G: Kuwagata Version JP,"Natsume Co., Ltd."
"Medal of Honor: Infiltrator NA, PAL • Medal of Honor Advance JP • Medal of Honor: Espionnage FR",Netherock Ltd.
Medal of Honor: Underground,Rebellion Developments
Medarot Navi Kabuto Version,"Natsume Co., Ltd."
Medarot Navi Kuwagata Version,"Natsume Co., Ltd."
Medabots: Metabee Version • Medarot 2 Core: Kabuto Version JP,"Natsume Co., Ltd."
Medabots: Rokusho Version • Medarot 2 Core: Kuwagata Version JP,"Natsume Co., Ltd."
"Meet the Robinsons NA, PAL • Bienvenue chez les Robinson FR • Triff Die Robinsons DE • Descubriendo a los Robinsons ES • I Robinson: Una Famiglia Spaziale IT",Climax
"Mega Man & Bass NA, PAL • Rockman & Forte JP",Capcom
"Mega Man Battle Chip Challenge NA, PAL • Rockman EXE Battle Chip GP JP",Capcom
"Mega Man Battle Network NA, PAL • Battle Network Rockman EX JP",Capcom
"Mega Man Battle Network 2 NA, PAL • Battle Network Rockman EXE 2 JP",Capcom
"Mega Man Battle Network 3: Blue NA, PAL • Battle Network Rockman EXE 3 Black JP",Capcom
"Mega Man Battle Network 3: White NA, PAL • Battle Network Rockman EXE 3 JP",Capcom
"Mega Man Battle Network 4: Blue Moon NA, PAL • Rockman EXE 4 Tournament Blue Moon JP",Capcom
"Mega Man Battle Network 4: Red Sun NA, PAL • Rockman EXE 4 Tournament Red Sun JP",Capcom
"Mega Man Battle Network 5: Team Protoman NA, PAL • Rockman EXE 5 Team of Blues JP",Capcom
"Mega Man Battle Network 5: Team Colonel NA, PAL • Rockman EXE 5 Team of Colonel JP",Capcom
"Mega Man Battle Network 6: Cybeast Falzar NA, PAL • Rockman EXE 6 Dennōjū Falzer JP",Capcom
"Mega Man Battle Network 6: Cybeast Gregar NA, PAL • Rockman EXE 6 Dennōjū Glaga JP",Capcom
"Mega Man Zero NA, PAL • Rockman Zero JP",Inti Creates
"Mega Man Zero 2 NA, PAL • Rockman Zero 2 JP",Inti Creates
"Mega Man Zero 3 NA, PAL • Rockman Zero 3 JP",Inti Creates
"Mega Man Zero 4 NA, PAL • Rockman Zero 4 JP",Inti Creates
Meitantei Conan: Akatsuki no Monument,
Meitantei Conan: Nerawareta Tantei,Fortyfive
Men in Black: The Series,David A. Palmer Productions
Mermaid Melody: Pichi Pichi Pitch,Konami
Mermaid Melody: Pichi Pichi Pitch - Pichi Pichi Party,Konami
Mermaid Melody: Pichi Pichi Pitch - Pichi Pichitto Live Start,Konami
Metal Max 2 Kai,
Metal Slug Advance,Noise Factory
Metalgun Slinger,Open Sesame
Metroid Fusion,Nintendo
Metroid: Zero Mission,Nintendo
Mezase! Koushien,
Micro Machines,Paragon 5
Midnight Club: Street Racing,Rebellion Developments
Midway's Greatest Arcade Hits,Midway
Mighty Beanz Pocket Puzzles,Radius9
Mike Tyson Boxing,Virtucraft
Millipede / Super Breakout / Lunar Lander,Gravity-I
Minami no Umi no Odyssey,
Mini Moni: Mika no Happy Morning Chatty,
Mini Moni: Onegai Ohoshi-sama!,
Minna no Ouji-Sama,Konami
Minna no Soft Series: Hyokkori Hyoutan Shima,MTO
Minna no Soft Series: Happy Trump 20,Kouyousha
Minna no Soft Series: Minna no Mahjong,MTO
Minna no Soft Series: Minna no Shogi,Arioka
Minna no Soft Series: Shanghai,Access
Minna no Soft Series: Tetris Advance,Access
Minority Report: Everybody Runs,Torus Games
Miracle! Panzou: 7-tsu no Hoshi no Uchuu Kaizoku,
Mission: Impossible: Operation Surma,M4 Limited
MLB Slugfest 2004,Handheld Games
Mobile Pro Yakyuu: Kantoku no Saihai,Mobile 21
Mobile Suit Gundam Seed: Tomo to Kimi to Koko de • Kidou Senshi Gundam Seed: Tomo to Kimi to Koko de JP,"Natsume Co., Ltd."
Mobile Suit Gundam Seed: Battle Assault,"Natsume Co., Ltd."
Momotarou Matsuri (Momotaro Festival),Hudson
Momotarou Dentetsu G: Gold Deck o Tsukure!,
Monopoly,Destination Software
Monster! Bass Fishing,Ignition Entertainment
Monster Force,Digital Eclipse
Monster Gate,KCE Studios
Monster Gate 2: Dai Inaru Dungeon (Monster Gate: Ooinaru Dungeon - Fuuin no Orb),KCE Studios
Monster Guardians,Konami
Monster House,Artificial Mind and Movement
Monster Jam: Maximum Destruction,Unique Development Studios
Monster Maker 4: Flash Card,
Monster Maker 4: Killer Dice,
Monster Rancher Advance PAL • Monster Farm Advance JP,Tecmo
Monster Rancher Advance 2 PAL • Monster Farm Advance 2 JP,Tecmo
Monster Summoner,
Monster Truck Madness,Tantalus
Monster Trucks,Skyworks Technologies
Monster Trucks Mayhem,Apex Designs
"Monsters, Inc. NA, JP, PAL • Monstres & Cie FR • Die Monster AG DE • Monstruos, S.A. ES • Monsters & Co. IT","Natsume Co., Ltd."
Moorhuhn 3: ...Es Gibt Huhn! DE • Crazy Chicken 3: The Chicken Chase PAL,Sproing
Moero!! Jaleco Collection,Jaleco Entertainment
Morita Shogi Advance,Hudson
The Morning Adventure,Bit Managers
Mortal Kombat Advance,Virtucraft
Mortal Kombat: Deadly Alliance,Midway
Mortal Kombat: Tournament Edition,Midway
Mother 1 + 2,Brownie Brown / HAL Laboratory
Mother 3,Brownie Brown / HAL Laboratory / Nintendo
MotoGP,Visual Impact
Moto Racer Advance,Adeline Software International
Motocross Maniacs Advance NA • Maniac Racers Advance PAL,Konami
Mouse Trap / Operation / Simon,Gravity-I
Mr. Driller 2,Namco
Mr. Driller Ace: Fushigi na Pacteria,
Mr. Nutz,Dream On
Ms. Pac-Man Maze Madness,Full Fat
Mucha Lucha! Mascaritas of the Lost Code,Digital Eclipse
Mugen Kinogyou Zero Tours,Amedio
Mugenborg,KCET
The Mummy,Ubisoft Milan
Muppet Pinball Mayhem,Digital Eclipse
The Muppets: On With The Show!,Vicarious Visions
Mutsu: Water Looper Mutsu,Alpha Unit
MX 2002 featuring Ricky Carmichael,Tiertex Design Studios
My Animal Centre in Africa PAL • SOS Animaux: Mission en Afrique FR • Meine Tierklinik in Africa DE,Braingame
My Little Pony Crystal Princess: The Runaway Rainbow,Webfoot Technologies
Nakayoshi Mahjan Kaburiichi,
Nakayoshi Pet Advance Series 1: Kawaii Hamusutaa,MTO
Nakayoshi Pet Advance Series 2: Kawaii Koinu,MTO
Nakayoshi Pet Advance Series 4: Kawaii Koinu Mini - Wanko to Asobou!! Kogatainu,MTO
Namco Museum,Mass Media
Namco Museum 50th Anniversary,Backbone Vancouver
Nancy Drew: Message in a Haunted Mansion,Handheld Games
Napoleon JP • Napoleon: L'Aigle de Guerrre FR,Genki
Nakayoshi Youchien,
Naruto: Konoha Senki,Amedio
Naruto: Ninja Council • Naruto: Ninjutsu Zenkai! Saikyō Ninja Daikesshū JP,Arc System Works
Naruto: Ninja Council 2 • Naruto: Saikyō Ninja Daikesshu 2 JP,Aspect Co.
Naruto RPG: Uketsugareshi Hi no Ishi,TOSE
NASCAR Heat 2002,Crawfish Interactive
Natural 2: Duo,
NBA Jam 2002,DC Studios
Need for Speed: Carbon - Own the City,EA Canada
Need for Speed: Most Wanted,EA Canada
Need for Speed: Underground,Pocketeers
Need for Speed: Underground 2,Pocketeers
Need for Speed: Porsche Unleashed,Pocketeers
NGT Next Generation Tennis PAL • Roland Garros: French Open 2002 FR,Carapace
NFL Blitz 20-02,OutLook Entertainment
NFL Blitz 20-03,OutLook Entertainment
NHL 2002,Budcat Creations
NHL Hitz 2003,Exient Entertainment
Nicktoons Racing,Crawfish Interactive
"Nicktoons Unite! NA • SpongeBob SquarePants and Friends Unite! PAL • Bob l'éponge et ses Amis: Un pour Tous, Tous pour Un! FR • SpongeBob Schwammkopf und Seine Freunde: Durch Dick und Dünn! DE • Bob Esponja y Amigos: ¡Unidos! ES • SpongeBob SquarePants en Zijn Vrienden: Samen Staan Ze Sterk! NL",Climax
Nicktoons: Attack of the Toybots NA • Bob l'éponge et Ses Amis: Contre les Robots-Jouets FR • SpongeBob und siene Freunde: Angriff der Spielzeugroboter DE,Firemint
Nicktoons: Battle for Volcano Island NA • SpongeBob SquarePants and Friends: Battle for Volcano Island PAL • Bob l'éponge et Ses Amis: Attaque sur l'île du Volcan FR • SpongeBob und Seine Freunde: Schlacht um die Vulkaninsel DE • Bob Esponja y Amigos: Batalla por la Isla del Volcán ES • SpongeBob e i suoi Amici: Battaglia sull'Isola del Vulcano IT,Halfbrick Studios
Nicktoons: Freeze Frame Frenzy NA • SpongeBob SquarePants and Friends: Freeze Frame Frenzy PAL • Bob l'éponge et ses Amis: La Photo en Délire (France) FR • SpongeBob Schwammkopf und seine Freunde im Fotofieber DE • Bob Esponja y sus Amigos: La Cámara Loca ES • SpongeBob SquarePants en Zijn Vrienden: De gekke camera NL,Altron
Ninja Five-O NA • Ninja Cop PAL,Hudson Soft
No no no Puzzle Chailien,Creatures Inc.
No Rules: Get Phat,Flying Tiger Development
Nobunaga Ibun,
Nobunaga No Yabou,Koei/iNiS
"Noddy: A Day at Toyland NA, PAL • Oui-Oui: Une Journée Au Pays des Jouets FR",Lucky Jump
Nyan Nyan Nyanko no Nyan Collection,MTO
Ochaken no Bouken Jima: Honwaka Yume no Island,
Ochaken Kururin: Honwaka Puzzle de Hotto Shiyo?,
Ochaken no Heya,
Ochaken no Yume Bouken,
Oddworld: Munch's Oddysee,Art
Ohanaya-san Monogatari,
Ojarumaru: Gekkou Machi Sanpo de Ojaru,
Okaitoku Series 5: Puzzle & Tantei Collection (Puzzle & Tantei Collection),Culture Brain
Okuman Chouja Game: Nottori Daisakusen!,Mobile 21
Onimusha Tactics,Capcom
One Piece: Going Baseball - Kaizoku Yakyuu JP • One Piece: Going Baseball: Haejeok Yagu KR,Now Production
One Piece: Dragon Dream!,M2
Onmyou Taisenki: Zeroshiki,Kamui
"Open Season NA, PAL • Les Rebelles de la Forêt FR • Colegas en el Bosque ES • Boog & Elliot: A Caccia di Amici IT",Ubisoft Montreal
Operation: Armored Liberty,Majesco Entertainment
Oriental Blue: Ao no Tengai,Hudson
Oshaberi Inko Club,
Oshare Princess,Culture Brain
Oshare Princess 2 + Doubutsu Kyaranabi Uranai,Culture Brain
Oshare Princess 3,Culture Brain
Oshare Princess 5,Culture Brain
Ottifanten Pinball DE,Independent Arts
"Over the Hedge NA, PAL • Nos Voisins, les Hommes FR • Ab durch die Hecke DE • Vecinos Invasores ES • La Gang del Bosco IT",Vicarious Visions
"Over The Hedge: Hammy Goes Nuts! NA, PAL • Nos Voisins, les Hommes: Zamy Pète Les Plombs! FR • Ab durch die Hecke: Hammy Dreht Durch DE • Vecinos Invasores: ¡Hammy Enloquece! ES • La Gang del Bosco: Hammy si Scatena IT",Vicarious Visions
Ozzy & Drix,Raylight Studios
Pac-Man Collection,Mass Media
Pac-Man Pinball Advance,HumanSoft
Pac-Man World,Full Fat
Pac-Man World 2,Full Fat
Paperboy / Rampage,DSI Games
Pawa Poke Dash,
Paws & Claws: Best Friends - Dogs & Cats NA • Best Friends: Hunde & Katzen DE,Sproing
Paws & Claws: Pet Resort NA • My Pet Hotel PAL • Meine Tierpension DE • Mijn Dierenpension: Huisdieren logeren graag bij jou! NL,Independent Arts
Paws & Claws: Pet Vet NA • Léa Passion Vétérinaire FR • Meine Tierarztpraxis DE • Mijn Dierenpraktijk NL,Independent Arts
Payback,Apex Designs
Peter Pan: The Motion Picture Event,Saffire
Petz: Hamsterz 2 NA • Hamster Gurakubu 3 JP,Jorudan
Petz Vet NA • Himawari Doubutsu Byouin Pet no Oishasan JP,Sensory Sweep
Phalanx,Kemco
Phantasy Star Collection,Digital Eclipse
Phil of the Future,Handheld Games
Pia Carrot e Youkoso!! 3.3 (Welcome to Pia Carrot 3.3),F&C
"Piglet's Big Game NA, PAL • Les Aventures de Porcinet FR • Ferkels Grosses Abenteuer-Spiel DE",Doki Denki
Pika Pika Nurse Monogatari: Hatsuratsu Nurse Ikusei Game,
Pinball Advance,Rebellion Developments
Pinball Challenge Deluxe (Pinball Dreams / Pinball Fantasies),Binary 9 Studios
The Pinball of the Dead,Sega
Pinball Tycoon,Ignition Entertainment
Pink Panther: Pinkadelic Pursuit,Super Empire
Pinky and the Brain: The Masterplan PAL • Mignolo e il Professore: Alla Conquista del Mondo IT,Warthog
Pinky Monkey Town,Starfish
Pinobee & Phoebee,Artoon
"Pinobee: Wings of Adventure NA, PAL • Pinobee no Daibouken JP • Pinobee: Les Ailes de L'Aventure FR",Artoon
Pirates of the Caribbean: The Curse of the Black Pearl,Pocket Studios
"Pirates of the Caribbean: Dead Man's Chest NA, PAL • Pirates Des Caraïbes: Le Secret du Coffre Maudit FR • Pirates of the Caribbean: Fluch der Karibik 2 DE • Piratas del Caribe: El Cofre del Hombre Muerto ES",Amaze Entertainment
"Pitfall: The Lost Expedition NA, PAL • Pitfall: L'Expedition Perdue FR • Pitfall: Die Verlorene Expedition DE",Torus Games
Pitfall: The Mayan Adventure,Pipe Dream Interactive
Pixeline i Pixieland DK,
Planet Monsters,Planet Interactive
"Planet of the Apes NA, PAL • Planète des Singes FR • Planet der Affen DE • El Planeta de los Simios ES • Il Pianeta delle Scimmie IT",Torus Games
Play Novel: Silent Hill,
Pocket Dogs • Poke Inu: Poket Dog JP,Agatsuma Entertainment
Pocket Music • GameBoy Music JP,Jester Interactive
Pocket Professor: KwikNotes Volume One,
Pocky & Rocky with Becky NA • Kiki KaiKai Advance JP,Altron
"Pokémon Emerald NA, PAL, AU • Pocket Monsters Emerald JP • Pokémon: Version Emeraude FR • Pokémon: Smaragd-Edition DE • Pokémon: Edición Esmeralda ES • Pokémon: Versione Smeraldo IT",Game Freak / Creatures Inc.
"Pokémon FireRed NA, PAL, AU • Pocket Monsters FireRed JP • Pokémon: Version Rouge Feu FR • Pokémon: Feuerrote Edition DE • Pokémon: Edición Rojo Fuego ES • Pokémon: Versione Rosso Fuoco IT",Game Freak
"Pokémon LeafGreen NA, PAL, AU • Pocket Monsters LeafGreen JP • Pokémon: Version Vert Feuille FR • Pokémon: Blattgrüne Edition DE • Pokémon: Edición Verde Hoja ES • Pokémon: Versione Verde Foglia IT",Game Freak
"Pokémon Mystery Dungeon: Red Rescue Team NA, PAL, AU • Pokémon Fushigi no Danjon Aka no Kyūjotai JP • Pokémon Donjon Mystère: Equipe de Secours Rouge FR • Pokémon Mystery Dungeon: Team Rot DE • Pokémon Mundo Misterioso: Equipo de rescate Rojo ES • Pokémon Mystery Dungeon: Squadra Rossa IT",Chunsoft
"Pokémon Pinball: Ruby & SapphireNA, PAL, JP, AU • Pokémon Pinball: Rubis & Saphir FR • Pokémon Pinball: Rubin & Saphir DE • Pokémon Pinball: Rubí y Zafiro ES • Pokémon Pinball: Rubino e Zaffiro IT",Jupiter
"Pokémon Ruby NA, PAL, AU • Pocket Monsters Ruby JP • Pokémon: Version Rubis FR • Pokémon: Rubin-Edition DE • Pokémon: Edición Rubí ES • Pokémon: Versione Rubino IT",Game Freak
"Pokémon Sapphire NA, PAL, AU • Pocket Monsters Sapphire JP • Pokémon: Version Saphir FR • Pokémon: Saphir-Edition DE • Pokémon: Edición Zafiro ES • Pokémon: Versione Zaffiro IT",Game Freak
"The Polar Express NA, PAL • Le Pôle Express FR • Der Polarexpress DE • Polar Express ES, IT",Tantalus
"Polarium Advance NA, PAL • Tsuukin Hitofude JP",Mitchell
Polly Pocket: Super Splash Island,Digital Illusions
Popeye: Rush for Spinach,Magic Pockets
Postman Pat and the Greendale Rocket,Otaboo
Power Pro Kun Pocket 1+2 (Powerful Pro Baseball 1+2),Diamond Head
Power Pro Kun Pocket 3 (Powerful Pro Baseball 3),Diamond Head
Power Pro Kun Pocket 4 (Powerful Pro Baseball 4),Diamond Head
Power Pro Kun Pocket 5 (Powerful Pro Baseball 5),Diamond Head
Power Pro Kun Pocket 6 (Powerful Pro Baseball 6),Diamond Head
Power Pro Kun Pocket 7 (Powerful Pro Baseball 7),Diamond Head
"Power Rangers: Dino Thunder NA, PAL • Power Rangers: Dino Tonnerre FR","Natsume Co., Ltd."
Power Rangers: Ninja Storm,"Natsume Co., Ltd."
Power Rangers: S.P.D.,"Natsume Co., Ltd."
"Power Rangers: Time Force NA, PAL • Power Rangers: La Force du Temps FR",Vicarious Visions
Power Rangers: Wild Force,"Natsume Co., Ltd."
The Powerpuff Girls: Him and Seek,Vicarious Visions
The Powerpuff Girls: Mojo Jojo A-Go-Go,Sennari Interactive
Prehistorik Man,Titus Interactive
Premier Action Soccer PAL • Anstoss Action DE,Independent Arts
Premier Manager 2003–04,Zoo Digital Publishing
Premier Manager 2004–2005,Zoo Digital Publishing
Premier Manager 2005–2006,Zoo Digital Publishing
Prince of Persia: The Sands of Time,Ubisoft Montreal
Princess Natasha: Student · Secret Agent · Princess,Frame Studios Interactive
Pro Mahjong Tsuwamono GBA,Culture Brain
The Proud Family,Gorilla Systems
PukuPuku Tennen Kairanban,
PukuPuku Tennen Kairanban: Koi no Cupid Daisakusen,
PukuPuku Tennen Kairanban: Youkoso! Illusion Land e,
Punch King,Full Fat
Puppy Luv: Spa and Resort,Humagade
Puyo Pop,Sonic Team
Puyo Pop Fever PAL • Puyo Puyo Fever JP,Sonic Team
Pyuu to Fuku! Jaguar: Byuu to Deru! Megane-Kun,Intense
Quad Desert Fury,Skyworks Technologies
R-Type III: The Third Lightning,Raylight Studios
Racing Fever,Naps Team
Racing Gears Advance,Orbital Media
Rampage Puzzle Attack,Ninai Games
Rapala Pro Fishing,Torus Games
Ratatouille,Helixe
Rave Master: Special Attack Force NA • Groove Adventure Rave: Hikari to Yami no Daikessen 2 JP,KCEJ
Rayman 3,Ubisoft
Rayman Advance,Digital Eclipse
Rayman: Hoodlum's Revenge NA • Rayman: Hoodlums' Revenge PAL • Rayman: La Revanche Des Hoodlums FR • Rayman: Die Rache Der Hoodlums DE,Backbone Entertainment
"Rayman Raving Rabbids NA, PAL • Rayman Contre Les Lapins Crétins FR",Visual Impact
Razor Freestyle Scooter NA • Freestyle Scooter PAL,Crave
Ready 2 Rumble Boxing: Round 2,Crawfish Interactive
Rebelstar: Tactical Command,Codo Technologies
Rec Room Challenge: Darts / Roll-a-Ball / Shuffle Bowl,Skyworks Technologies
Recca no Honō: Flame of Recca,
Reign of Fire,Crawfish Interactive
Relaxuma na Mainichi,
Rescue Heroes: Billy Blazes,WayForward
The Revenge of Shinobi,3d6 Games
"The Revenge of the Smurfs NA, PAL • La Revanche des Schtroumpfs / De Wraak van de Smurfen FR, NL • Die Schlümpfe schlagen zurück DE • Las Vengaza de los Pitufos ES • La Rivincita dei Puffi IT",Bit Managers
Rhythm Tengoku,Nintendo SPD
The Ripping Friends: The World's Most Manly Men!,Creations
Risk / Battleship / Clue,Gravity-I
River City Ransom EX NA • Downtown Nekketsu Monogatari EX JP,"Million Co., Ltd."
Riviera: The Promised Land NA • Riviera: Yakusoku no Chi Riviera JP,Sting
Road Rash: Jailbreak,Magic Pockets
Road Trip: Shifting Gears NA • Gadget Racers PAL • Choro Q Advance 2 JP,Electronics Application
Robopon 2: Cross Version NA • Robot Pokotto 2: Cross Version JP,RED Entertainment
Robopon 2: Ring Version NA • Robot Pokotto 2: Ring Version JP,RED Entertainment
Robot Wars: Advanced Destruction,Crawfish Interactive
Robot Wars: Extreme Destruction,Gamezlab
Robotech: The Macross Saga,Lucky Chicken
Robots,Amaze Entertainment
Rock 'Em Sock 'Em Robots,Full Fat
Rock n' Roll Racing,Mass Media
Rocket Power: Beach Bandits,Helixe
"Rocket Power: Dream Scheme NA, PAL • Rocket Power: Le Cauchemar d'Otto FR",Helixe
Rocket Power: Zero Gravity Zone,Altron
Rockman EXE 4.5: Real Operation,Capcom
Rocky,Virtucraft
RPG Tsukuru Advance,
"Rugrats Go Wild NA, PAL • Les Razmoket Rencontrent les Delajungle FR",Magellan Interactive
"Rugrats: Castle Capers NA, PAL • Les Razmoket: Voler n'est pas Jouer FR • Rugrats: Travesuras en el Castillo ES",Software Creations
"Rugrats: I Gotta Go Party NA, PAL • Les Razmoket: A Moi la Fiesta FR",Eurocom
Sabre Wulf,Rare
Sabrina The Teenage Witch: Potion Commotion,Ubisoft
Saibara Rieko no Dendou Mahjong,Warashi
Sakura Momoko no Ukiuki Carnival,Indies Zero
Salt Lake 2002,DC Studios
Samurai Deeper Kyo,Marvelous Entertainment
Samurai Evolution: Oukoku Geist,TeaSet
Samurai Jack: The Amulet of Time,Virtucraft
San Goku Shi (Romance of the Three Kingdoms),Koei
San Goku Shi: Eiketsuden,
San Goku Shi: Koumeiden,
Sanrio Puro Land All-Characters,
Sansara Naga 1x2,Groove Box Japan
"Santa Claus Jr. Advance NA, PAL • Père Noël Advance FR",Neon Studios
Santa Claus Saves the Earth,Ivolgamus
The Santa Clause 3: The Escape Clause,1st Playable Productions
Scan Hunter,
Scooby-Doo!,Helixe
"Scooby-Doo 2: Monsters Unleashed NA, PAL • Scooby-Doo 2: Les Monstres se Dechainent FR • Scooby-Doo 2: Die Monster Sind Los DE",Altron
"Scooby-Doo and the Cyber Chase NA, PAL • Scooby-Doo et la Cybertraque FR • Scooby-Doo und die Cyber-Jagd DE",Software Creations
"Scooby-Doo! Mystery Mayhem NA, PAL • Scooby-Doo! Le Livre des Ténèbres FR • Scooby-Doo! Fluch der Folianten DE",Artificial Mind and Movement
"Scooby-Doo! Unmasked NA, PAL • Scooby-Doo! Démasqué FR",Artificial Mind and Movement
The Scorpion King: Sword of Osiris,WayForward
Scrabble,Runecraft
Scrabble Blast! NA • Scrabble Scramble PAL,Visual Impact
Scurge: Hive,Orbital Media
SD Gundam G Generation Advance,Vanguard
SD Gundam Force,Tom Create
Sea Trader: Rise of Taipan,Jaleco Entertainment
Sega Arcade Gallery,Sega
Sega Rally Championship,Dice
Sega Smash Pack,CodeFire
Sengoku Kakumei Gaiden,KCE Studios
Sennen Kazoku,Indies Zero
Sentouin: Yamada Hajime,Rokumendo
Serious Sam Advance,Climax
Shaman King Chou Senjiryakketsu 2,Studio Saizensen
Shaman King Chou Senjiryakketsu 3,Studio Saizensen
"Shaman King: Legacy of the Spirits, Soaring Hawk",Konami
"Shaman King: Legacy of the Spirits, Sprinting Wolf",Konami
Shaman King: Master of Spirits,Konami
Shaman King: Master of Spirits 2,Konami
Shamu's Deep Sea Adventures,Humagade
Shanghai Advance,SunSoft
"Shark Tale NA, JP, PAL • Gang De Requins FR • Große Haie-Kleine Fische DE • El Espantatiburones ES",Vicarious Visions
Shaun Palmer's Pro Snowboarder,"Natsume Co., Ltd."
"Sheep NA, PAL • Hitsuji no Kimochi JP",Capcom
Shikakui Atama o Maru Kusuru Advance: Kanji Keisanhen,
Shikakui Atama o Maru Kusuru Advance: Kokugo Sansuu Shakai Rikahen,
Shimura Ken no Bakatono-sama: Bakushou Tenka Touitsu Game,Kamui
Shin Bokura no Taiyō: Gyakushū no Sabata (Boktai 3: Sabata's Counterattack),Hideo Kojima Production
Shin Kisekae Monogatari,
Shin Megami Tensei,
Shin Megami Tensei II,
Shin Megami Tensei: Devil Children - Messiah Riser,Rocket Company
Shin Megami Tensei: Devil Children - Puzzle de Call!,
Shin Megami Tensei: Devil Children 2 - Honoo no Sho,
Shin Megami Tensei: Devil Children 2 - Koori no Sho,
Shin Nippon Pro Wrestling: Toukon Retsuden Advance,
Shingata Medarot: Kabuto Version,"Natsume Co., Ltd."
Shingata Medarot: Kuwagata Version,"Natsume Co., Ltd."
"Shining Force: Resurrection of the Dark Dragon NA, PAL • Shining Force: Kuroki Ryuu no Fukkatsu JP",Amusement Vision
Shining Soul,Nex Entertainment
Shining Soul II,Nex Entertainment
Shiren Monsters: Netsal,
Shonen Jump's One Piece,Dimps
Shoubushi Densetsu Tetsuya: Yomigaeru Densetsu (Gambler Densetsu Tetsuya: Yomigaeru Densetsu),
Shrek: Hassle at the Castle,TOSE
Shrek: Reekin' Havoc,TOSE
Shrek Smash n' Crash Racing,Torus Games
Shrek SuperSlam,Shaba Games
Shrek: Swamp Kart Speedway,Prolific
Shrek 2,Vicarious Visions
"Shrek 2: Beg for Mercy! NA, PAL • Shrek 2: La Charge Zéroïque FR • Shrek 2: Flehe um Gnade! DE • Shrek 2: Suplicad Piedad ES • Shrek 2: Gatto all'Attacco! IT",Vicarious Visions
"Shrek the Third NA, PAL • Shrek Le Troisieme FR • Shrek der Dritte DE • Shrek Tercero ES • Shrek Terzo IT • Shrek de Derde NL",Vicarious Visions
Sigma Star Saga,WayForward
Silent Scope,Konami
Silk to Cotton,"Kiki Co., Ltd."
SimCity 2000,Full Fat
Simple 2960 Tomodachi Series Vol. 1: The Table Game Collection,Access
Simple 2960 Tomodachi Series Vol. 2: The Block Kuzushi,Access
Simple 2960 Tomodachi Series Vol. 3: The Itsudemo Puzzle,BeeWorks
Simple 2960 Tomodachi Series Vol. 4: The Trump JP • Funny Cards PAL,Access
The Simpsons: Road Rage,Altron
"The Sims 2 NA, PAL • Le Sims 2 FR • Die Sims 2 DE • Los Sims 2 ES • De Sims 2 NL",Maxis
"The Sims Bustin' Out NA, PAL • Les Sims: Permis de Sortir FR • Die Sims: Brechen Aus DE • Los Sims: Toman la Calle ES • The Sims: Fuori Tutti! IT • The Sims: Erop Uit! NL",Maxis
"The Sims 2: Pets NA, PAL • Les Sims 2: Animaux & Cie FR • Die Sims 2: Haustiere DE • Los Sims 2: Mascotas ES • De Sims 2: Huisdieren NL",Maxis
Sister Princess: Re Pure,
"Sitting Ducks NA, PAL • Croque Canards FR",LSP
Sky Dancers,David A. Palmer Productions
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,TOSE
