Title,Developer(s)
"Disney's The Lion King 1.mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);clip-path:polygon(0px 0px,0px 0px,0px 0px);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}1⁄2 NA • Disney's The Lion King PAL • Disney Le Roi Lion FR • Disneys Der König der Löwen DE • Disney El Rey Leon ES • Disney Il Re Leone IT",Vicarious Visions
Disney's The Jungle Book NA • Disney's The Jungle Book 2 PAL • Le Livre de la Jungle 2 FR • Disneys Das Dschungelbuch 2 DE • Disney el Libro de la Selva 2 ES • Disney Il Libro Della Giungla 2 IT,Visual Impact
"Disney's Magical Quest Starring Mickey & Minnie NA, PAL • Disney's Mickey to Minnie no Magical Quest JP",Capcom
"Disney's Magical Quest 2 Starring Mickey and Minnie NA, PAL • Disney's Mickey to Minnie no Magical Quest 2 JP",Capcom
"Disney's Magical Quest 3 Starring Mickey & Donald NA, PAL • Disney's Mickey to Donald no Magical Quest 3 JP",Klein Computer Entertainment
"Disney's Party NA, PAL • Mickey no Pocket Resort JP",Jupiter
"Disney's Peter Pan: Return to Neverland NA, PAL • Peter Pan: Retour au Pays Imaginaire FR • Disneys Peter Pan: Neue Abenteuer in Nimmerland DE • Disney Peter Pan: Regreso al País de Nunca Jamás ES • Disney Peter Pan: Ritorno all Isola che Non c'è IT • Peter Pan: Terug naar Nooitgedachtland NL",Amedio
"Disney's Tarzan: Return to the Jungle NA, PAL • Tarzan: L'Appel de la Jungle FR • Tarzan: Rüeckkehr in den Dschungel DE",Digital Eclipse
"Disney's The Little Mermaid: Magic in Two Kingdoms NA, PAL • La Petite Sirene: Aventure Magique entre Terre et Mer FR • Arielle die Meerjungfrau: Ein Meer voller Abenteuer DE • Disney La Sirenita: Dos Reinos Mágicos ES • La Sirenetta: Due Mondi di Magia IT • Disney's De Kleine Zeemeermin: Magie in Twee Werelden NL",Gorilla Systems
Disney's Treasure Planet • Disney La Planète au trésor FR • Disneys Der Schatzplanet DE • Disney El Planeta del tesoro ES • Disney Il Pianeta del Tesoro IT • Disney's Piratenplaneet: De Schat van Kapitein Flint NL,Bizarre Creations
"DK: King of Swing NA, PAL • Bura Bura Donkey JP",Paon
"Dogz NA, PAL • Kawaii Koinu: Wonderful JP",MTO
Dogz 2,MTO
Dogz Fashion • Oshare Wanko JP,MTO
Dokapon: Monster Hunter NA • Dokapon: Monster Hunter! PAL • Dokapon-Q: Monster Hunter! JP,"Asmik Ace Entertainment, Inc"
DokiDoki Cooking Series 1: Komugi-Chan no Happy Cake,MTO
DokiDoki Cooking Series 2: Gourmet Kitchen: Suteki na Obentou,MTO
Dokodemo Taikyoku: Yakuman Advance (Play Anywhere Versus Advance),NDcube
Domo-kun no Fushigi Terebi,Suzak
Don-Chan Puzzle: Hanabi de Don!,Takumi Corporation
"Donald Duck Advance NA, PAL • Paperino Advance FR • Pato Donald Advance ES",Ubisoft Shanghai
"Donkey Kong Country NA, PAL • Super Donkey Kong JP",Rare
"Donkey Kong Country 2 NA, PAL • Super Donkey Kong 2 JP",Rare
"Donkey Kong Country 3 NA, PAL • Super Donkey Kong 3 JP",Rare
Doom,David A. Palmer Productions
