Title,Developer(s)
Fushigi no Umi no Nadia,Namco
G-LOC: Air Battle,Probe Software
The Gadget Twins,Imagitec Design
Gaiares,Telenet Japan
Gain Ground,Sanritsu
Galaxy Force II,CRI
Gambler Jiko Chūshinha: Katayama Masayuki no Mahjong Doujou,Yellow Horn
Garfield: Caught in the Act,Sega Interactive Development Division
Gargoyles,Buena Vista Interactive
Gauntlet IV GauntletJP,M2
Gemfire Royal BloodJP,Koei
General Chaos,Game Refuge
Generations Lost,Pacific Softscape
Genghis Khan II: Clan of the Gray Wolf Aoki Ōkami to Shiroki Mejika: Genchou HishiJP,Koei
George Foreman's KO Boxing,Beam Software
Ghostbusters,Sega Compile
Ghouls 'n Ghosts,Sega
Global Gladiators Mick & Mack as the Global GladiatorsNA,Virgin Games USA
Gods,Graftgold
Golden Axe,Sega
Golden Axe II,Sega
Golden Axe III,Sega
Goofy's Hysterical History Tour,Absolute Entertainment
Gouketsuji Ichizoku,Atlus
Granada,Wolf Team
The Great Circus Mystery Starring Mickey & Minnie,Capcom
The Great Waldo Search,Radiance Software
Greatest Heavyweights,Acme Interactive
Greendog: The Beached Surfer Dude!,Interactive Designs
Grind Stormer V-VJP,Toaplan Tengen
Growl,I.T.L
Gunship,Probe Software Krisalis Software
Gunstar Heroes,Treasure
Gynoug Wings of WorNA,NCS
Hard Drivin',Sterling Silver Software
HardBall!,Accolade
HardBall III,Mindspan Technologies
Hardball '94,Mindspan Technologies
Hardball '95,Mindspan Technologies Cygnus Multimedia
Haunting Starring Polterguy,Electronic Arts
Head-On Soccer Fever Pitch SoccerPAL,U.S. Gold
Heavy Nova,Holocronet
Heavy Unit: Mega Drive Special,Kaneko Funari
Hellfire,Toaplan NCS
Herzog Zwei,Technosoft
High Seas Havoc HavocPAL Captain LangJP,Data East
Hit the Ice,Aisystem Tokyo
Home Alone,Sega
Home Alone 2: Lost in New York,Sega Interactive Development Division
Honō no Tōkyūji: Dodge Danpei,Sega
Hook,Ukiyotei Core Design
The Humans,Imagitec Design
Hurricanes,Arc Developments
The Hybrid Front,Sega Oniro
Hyokkori Hyoutanjima: Daitouryou o Mezase!,Japan System House
IMG International Tour Tennis,High Score Productions
The Immortal,Will Harvey Electronic Arts
The Incredible Crash Dummies,Gray Matter Inc.
The Incredible Hulk,Probe Software
Indiana Jones and the Last Crusade,Tiertex
Insector X,Hot-B
Instruments of Chaos starring Young Indiana Jones,"Brian A. Rice, Inc. Waterman Design"
International Rugby,Tiertex
International Sensible Soccer Limited Edition: World Champions,Sensible Software
International Superstar Soccer Deluxe,Factor 5
Ishido: The Way of Stones,Accolade
Izzy's Quest for the Olympic Rings,"Alexandria, Inc."
J.League Pro Striker,Sega
J.League Pro Striker 2,Sega
J.League Pro Striker Kanzenban,Sega
Jack Nicklaus' Power Challenge Golf,Microsmiths
"James ""Buster"" Douglas Knock Out Boxing Final BlowJP",Taito
James Bond 007: The Duel,The Kremlin
James Pond: Underwater Agent,Millennium Interactive Vectordean
James Pond II: Codename: RoboCod,Millennium Interactive
James Pond 3: Operation Starfish,Millennium Interactive Vectordean
Jammit,GTE ImagiTrek
Janou Touryūmon,Game Arts Sega Mecano Associates
Jantei Monogatari,Atlus Telenet Japan
Jennifer Capriati Tennis GrandSlam: The Tennis TournamentPAL,System Sacom
Jeopardy!,Park Place Productions
Jeopardy! Deluxe Edition,Park Place Productions
Jeopardy! Sports Edition,Park Place Productions
Jerry Glanville's Pigskin Footbrawl,Developer Resources
Jewel Master,Sega
Jimmy White's 'Whirlwind' Snooker,Archer Maclean
Joe & Mac,Eden Entertainment Krisalis Software
Joe Montana Football,Park Place Productions
Joe Montana II: Sports Talk Football,BlueSky Software
John Madden Football John Madden American FootballPAL,Park Place Productions
John Madden Football '92 Pro FootballJP,Park Place Productions
John Madden Football '93 John Madden Football: Pro FootballJP,Looking Glass Technology EA Studios
John Madden Football '93: Championship Edition,Looking Glass Technology
Jordan vs. Bird: One on One,Electronic Arts
Judge Dredd,Probe Software
Junction,Micronet
The Jungle Book,Eurocom Entertainment Software
Jungle Strike,High Score Productions Granite Bay Software
Jurassic Park,BlueSky Software
Jurassic Park: Rampage Edition,BlueSky Software
Justice League Task Force,Sunsoft Condor
Ka-Ge-Ki: Fists of Steel,Kaneko Hot-B
Kawasaki Superbike Challenge,Lankhor
Kick Off 3: European Challenge,Anco Software
Kid Chameleon,Sega Technical Institute
Kidō Keisatsu Patlabor: 98-Shiki Kidou Seyo!,Ma-Ba
King of the Monsters,SPS
King of the Monsters 2,Betop
King Salmon,Hot-B
King's Bounty: The Conqueror's Quest,New World Computing
Kishi Densetsu,Geo Factory
Klax,Namco
Klax,Tengen
Krusty's Super Fun House,Audiogenic
Kyūkai Dōchūki,Namco
La Russa Baseball 95,Stormfront Studios High Score Productions
Lakers versus Celtics and the NBA Playoffs,Electronic Arts
