Title,Developer(s)
Doraemon 3: Nobita to Toki no Hougyoku,AIM
Doraemon 4: Nobita to Tsuki no Oukoku,Agenda
DoReMi Fantasy: Milon no Dokidoki Daibouken,Hudson Soft
Dossun! Ganseki Battle,I'Max
Double Dragon V: The Shadow Falls,Leland Interactive Media
Doukyuusei 2 [d],ELF Corporation
Down the World: Mervil's Ambition [b],ASCII Entertainment
Downtown Nekketsu Baseball Monogatari: Baseball de Shoufuda! Kunio-kun,Technōs Japan
Dr. Mario [d] [a],Tose
Dragon: The Bruce Lee Story,Virgin Interactive Entertainment
Dragon Ball Z: Hyper Dimension,Tose
Dragon Ball Z: Super Butōden •Dragon Ball ZFR,Tose
Dragon Ball Z: Super Butōden 2 [c] •Dragon Ball Z 2: la Légende SaienFR,Tose
Dragon Ball Z: Super Butōden 3 [c] •Dragon Ball Z: ChomutujeonKR •Dragon Ball Z: Ultime Menace FR,Tose
Dragon Ball Z: Super Gokuden Totsugeki Hen,Tose
Dragon Ball Z: Super Gokuden Kakusei Hen,Tose
Dragon Ball Z: Super Saiya Densetsu,Tose
Dragon Knight 4,ELF Corporation
Dragon Quest I & II [ja],Chunsoft
Dragon Quest III: Soshite Densetsu e...,Heartbeat
Dragon Quest V: Tenkuu no Hanayome •Dragon Warrior VNA,Chunsoft
Dragon Quest VI: Maboroshi no Daichi,Heartbeat
Dragon Slayer: Eiyuu Densetsu [a] [b],Falcom
Dragon Slayer: Eiyuu Densetsu II [b],Falcom
Dragon View •Super DrakkhenJP,Kemco
Dragon's Earth,Human Entertainment
Dragon's Lair •Dragon's MagicJP,MotiveTime
Drakkhen,Kemco
Dream Basketball: Dunk & Hoop,Human Entertainment
Dream TV,Triffix
Dual Orb,I'Max
Dual Orb II,I'Max
The Duel: Test Drive II,Distinctive Software
Dungeon Master,Software HeavenFTL Games
DunQuest: Majin Fuuin no Densetsu,Technōs Japan
Dynamic Stadium,Electronics Application
Dynamite: The Las Vegas,Micro Factory
E.V.O.: Search for Eden •46 Okunen Monogatari: Harukanaru Eden eJP,Almanic
Earth Defense Force •Super E.D.F.JP [a],Jaleco
Earth Light [ja],Hudson Soft
Earth Light: Luna Strike [ja],Hudson Soft
EarthBound •Mother 2JP,ApeHAL Laboratory
Earthworm Jim,Shiny Entertainment
Earthworm Jim 2,Shiny Entertainment
Edo no Kiba,Riot
Eek! The Cat,CTA Developments
Elfaria,Red Company
Elfaria 2: The Quest of the Meld,Red Company
Emerald Dragon,Alfa System
EMIT Vol. 1,Koei
EMIT Vol. 2,Koei
EMIT Vol. 3,Koei
Emmitt Smith Football,Bitmasters
Energy Breaker,Neverland
Equinox •Solstice IIJP,Software Creations
Esparks: Ijikuu Kara no Raihousha,
ESPN Baseball Tonight,Park Place Productions
ESPN National Hockey Night,Sony Imagesoft
ESPN SpeedWorld,Sony Imagesoft
ESPN Sunday Night NFL,Absolute Entertainment
Eternal Filena,
Extra Innings •Hakunetsu Pro Yakyuu: Ganba LeagueJP,Sting Entertainment
Eye of the Beholder,Capcom
F-1 Grand Prix,Video System
F-1 Grand Prix Part II,Video System
F-1 Grand Prix Part III,Video System
F-Zero [c] [a],Nintendo EAD
F1 Pole Position •Human Grand PrixJP,Human Entertainment
F1 Pole Position 2 •Human Grand Prix IIJP,Human Entertainment
"F1 ROC: Race of Champions •Exhaust HeatEU, JP",SETA
F1 ROC II: Race of Champions •Exhaust Heat II: F-1 Driver no KisekiJP,SETA
F1 World Championship Edition,Domark
Faceball 2000,Xanth Software
Famicom Bunko: Hajimari no Mori [d],Pax Softonica
Famicom Tantei Club Part II: Ushiro ni Tatsu Shōjo [d],Nintendo R&D1
Family Dog,Imagineering
Family Feud,Imagineering
Farland Story: Yottsu no Fuuin,Technical Group Laboratory
Farland Story 2: Dance of Destruction,Technical Group Laboratory
Fatal Fury •Garou Densetsu Shukumei no TatakaiJP,"Nova Co., Ltd"
Fatal Fury 2 •Garou Densetsu 2 Aratanaru TatakaiJP,"Nova Co., Ltd"
Fatal Fury Special •Garou Densetsu SpecialJP,Takara
Feda: The Emblem of Justice [b],Max Entertainment
Fever Pitch Soccer •Head-On SoccerNA,U.S. Gold
FIFA International Soccer,Extended Play Productions
FIFA Soccer 96,Extended Play ProductionsProbe Entertainment
FIFA 97: Gold Edition,Electronic Arts
FIFA: Road to World Cup 98,Electronic Arts
Fighter's History [c],Data East
Fighter's History: Mizoguchi Kiki Ippatsu!!,Data East
Final Fantasy IV •Final Fantasy IINA,Square
Final Fantasy IV Easy Type,Square
Final Fantasy V,Square
Final Fantasy VI •Final Fantasy IIINA,Square
Final Fantasy Mystic Quest •Mystic Quest LegendEU •Final Fantasy USA: Mystic QuestJP,Square
Final Fight [c] [b],Capcom
Final Fight 2 [b],Capcom
Final Fight 3 •Final Fight ToughJP,Capcom
Final Fight Guy,Capcom
Final Set Tennis,Human Entertainment
Final Stretch,Genki
Fire Emblem: Mystery of the Emblem,Intelligent Systems
