Title,Developer(s)
ATV Drift & Tricks,Anuman Interactive
Automachef,Hermes Interactive
Autumn's Journey,Apple Cider
Avenger Bird,TiliaSoft
Aviary Attorney: Definitive Edition,Sketchy Logic
AVICII Invector,Hello There
AvoCuddle,Ramez Al Tabbaa
Awakening of Cthulhu,Kodobur Yazilim
Away: Journey to the Unexpected,Aurelien Regard
Awe,BadLand Publishing
Awesome Pea,Sometimes You
Awesome Pea 2,Sometimes You
Awkward,Snap Finger Click
Axe Champ!,Entity3
Axes,Azur Games
Axiom Verge,Thomas Happ Games
Axiom Verge 2,Thomas Happ Games
AXS: Ace X Snowboard,Max Interactive Studio
Ayakashi Koi Gikyoku: Forbidden Romance with Mysterious Spirit,OperaHouse Corporation
Ayakashi: Romance Reborn Dawn Chapter & Twilight Chapter,Voltage
Ayo the Clown,Cloud M1
Azkend 2: The World Beneath,10tons
Aztech: Forgotten Gods,Lienzo
Azur Lane: Crosswave,Felistella
Azuran Tales: Trials,Tiny Trinket Games
Azure Reflections,Unties
Azure Saga: Pathfinder Deluxe Edition,Toge Productions
Azure Striker Gunvolt: Striker Pack,Inti Creates
Azure Striker Gunvolt 3,Inti Creates
Azurebreak Heroes,Piotr Powroziewicz
B.Ark,TicToc Games
B-Project Ryūsei*Fantasia,Mages
Baba Is You,Hempuli
Babol the Walking Box,Gamecom Team
Baby Puzzle: First Learning Shapes for Toddlers,winterworks
Back in 1995,Ratalaika Games
Back to Bed,2Awesome Studio
Backbone,EggNut
Backworlds,Logic Ember Limited
Bacon Man: An Adventure,Skymap Games
Bad Dream: Coma,Desert Fox
Bad Dream: Fever,Forever Entertainment
Bad North,Plausible Concept
Bada Space Station,Terahard Studios
Badland: Game of the Year Edition,Frogmind
BAFL: Brakes Are for Losers,Oudidon
Bai Qu: Hundreds of Melodies,Magenta Factory
Baila Latino,My World
Bake 'N Switch,Streamline Games
Bakery Master,Piotr Skalski
Bakugan: Champions of Vestroia,WayForward
Bakumatsu Renka Shinsengumi,VRIDGE
Bakutsuri Hunters,Bandai Namco Studios
Balan Wonderworld,Arzest
Balance Blox,EntwicklerX
Balancelot,"Jestercraft, AnvilBird Interactive"
Baldo,Naps Team
Baldur's Gate: Dark Alliance,Black Isle Studios
Baldur's Gate: Enhanced Edition,Beamdog
Baldur's Gate II: Enhanced Edition,Beamdog
Ball Attraction,Rising Win Tech
Ball Physics Draw Puzzles,Benjamin Kistler
Ball Physics Draw Puzzles 2,Benjamin Kistler
Balloon Girl,Nerdvision Games
"Balloon Pop for Toddlers & Kids: Learn Numbers, Letters, Colors & Animals",Winterworks
"Balloon Pop: Learning Letters, Numbers, Colors, Game for Kids",McPeppergames
BallzOut,4MB Interactive
Balthazar's Dream,Dolores Entertainment
Bamerang,Lululu Entertainment
Banana Treasures Island,Max Interactive Studio
BanG Dream! Girls Band Party!,Craft Egg
Banner of the Maid,Azure Flame Studio
The Banner Saga,Stoic Studio
The Banner Saga 2,Stoic Studio
The Banner Saga 3,Stoic Studio
Banners of Ruin,MonteBearo
Baobabs Mausoleum Ep.1: Ovnifagos Don't Eat Flamingos,Celery Emblem
Baobabs Mausoleum Ep. 2: 1313 Barnabas Dead End Drive,Celery Emblem
Baobabs Mausoleum Ep. 3: Un Pato en Muertoburgo,Celery Emblem
Barbarous: Tavern of Emyr,SQRT3
Barbearian,Kimmo Factor
Barbero,Forever Entertainment
Bard's Gold,Pixel Lantern
The Bard's Tale ARPG: Remastered and Resnarkled,InXile Entertainment
Bargain Hunter,Silver Cow Studio
Baron: Fur Is Gonna Fly,Dogmelon Games
Baroque,Sting Entertainment
Barrage Fantasia,Hanaji Games
Barricadez ReVisited,FlyPenguin
Barrier X,HypeTrain Digital
Barry Bradford's Putt Panic Party,Tacs Games
Barry the Bunny,lightUp
Baseball Riot,10tons
Bash The Bear,FuryLion
Basketball,Sabec
Basketball Club Story,Kairosoft
Basketball Pinball,Super PowerUp Games
Bass Pro Shops: The Strike Championship Edition,Saber Interactive
Bastion,Supergiant Games
Bat Boy,Sonzai Games
Batbarian: Testament of the Primordials,Dangen Entertainment
Baten Kaitos I & II HD Remaster,Monolith Soft
Batman: Arkham Trilogy,Rocksteady Studios
Batman: The Enemy Within,Telltale Games
Batman: The Telltale Series,Telltale Games
Batora: Lost Haven,Stormind Games
BATS: Bloodsucker Anti-Terror Squad,Ritual Games
Battery Jam,Halseo
Battle & Crash,Sims
Battle Axe,Henk Nieborg
Battle Brothers,Ukiyo Publishing
Battle Calculator,Blacksmith DoubleCircle
Battle Chasers: Nightwar,Airship Syndicate
Battle Chef Brigade,Trinket Studios
Battle for Blood,YFC Games
Battle Group 2,Merge Games
Battle Hunters,Phase Two
Battle of Archers,Gametry
Battle of Kings,Wenkly Studio
The Battle of Mahjong,Kusone Studio
Battle Planet: Judgement Day,Threaks
Battle Princess Madelyn,Causal Bit Games
Battle Princess Madelyn Royal Edition,Causal Bit Games
Battle Spirits: Connected Battlers,FuRyu
Battle Supremacy,Atypical Games
Battle Supremacy: Evolution,Atypical Games
Battle Supremacy: Ground Assault,Atypical Games
Battle Worlds: Kronos,King Art
Battleground,Sabec
Battleship,Marmalade Game Studio
Battlesloths,Invisible Collective
Battlestar Galactica Deadlock,"Black Lab Games, Slitherine"
Battlezone: Gold Edition,Rebellion Developments
Battlloon,noname studio
Battojutsu,Kikkawa Keita
Batu Ta Batu,2Awesome Studio
Bayala: The Game,Independent Arts Software
Bayonetta,PlatinumGames
Bayonetta 2,PlatinumGames
Bayonetta 3,PlatinumGames
Bayonetta Origins: Cereza and the Lost Demon,PlatinumGames
BDSM: Big Drunk Satanic Massacre,Big Way Games
BE-A Walker,Sonka
Be a Poker Champion! Texas Hold'em,SilverStarJapan
Beach Bounce Remastered,Dharker Studio
Beach Buggy Racing,Vector Unit
Beach Buggy Racing 2: Island Adventure,Vector Unit
Beach Volleyball Challenge,Simplicity Tomasz Dyrak
The Bear And The Admiral,Jack Boylan
Bear & Breakfast,Gummy Cat
Bear with Me,Exordium Games
Bear with Me: The Lost Robots,Exordium Games
Bear's Restaurant,Odencat
Beast Breaker,Vodeo Games
Beast Darling: Kemonomimi Danshi to Himitsu no Ryou,Caerux
Beast Quest,Torus Games
Beastmaster and Princes: Flower & Snow,Design Factory
Beasts of Maravilla Island,Banana Bird Studios
Beat Cop,Michael Hicks
Beat Me!,Red Limb Studio
Beat Rush,FuryLion
Beat Them All,Pix Arts
Beats Runner,FuryLion
Beautiful Desolation,The Brotherhood
Beauty Bounce,Dharker Studio
Bedtime Blues,Hannmade Studios
Bee Simulator,Varsav Games
BeeFense BeeMastered,ByteRockers Games
Beekyr Reloaded,Akaoni Studio
Before I Forget,Plug In Digital
Behind the Frame: The Finest Scenery,Silver Lining Studio
Behind The Screen,18Light
Behold the Kickmen,Size Five Games
Beholder: Complete Edition,Warm Lamp Games
Beholder 2,Warm Lamp Games
Being Stronger While Playing! SilverStar Go DX,Silver Star Japan
Ben 10,Torus Games
Ben 10: Power Trip,PHL Collective
Bendy and the Ink Machine,TheMeatly Games
Best Day Ever,ReRolled Studio
Best Friend Forever,Steve Jackson Games
Best Sniper Legacy: Dino Hunt & Shooter 3D,T-Bull
Between Time: Escape Room,mc2games
Beyblade Burst Battle Zero,FuRyu
Beyond Blue,E-Line Media
Beyond Enemy Lines: Covert Operations,Polygon Art
Beyond Enemy Lines: Essentials,Polygon Art
Beyond Enemy Lines: Remastered Edition,Polygon Art
Bezier: Second Edition,Thalamus Digital Publishing
Beyond a Steel Sky,Revolution Software
BFF or Die,2Awesome Studio
Bibi & Tina at the Horse Farm,Treva Entertainment
Big Bash Boom,Big Ant Studios
Big Bobby Car: The Big Race,Independent Arts Software
Big Brain Academy: Brain vs. Brain,Nintendo EPD
Big Buck Hunter Arcade,Soma Sim
The Big Con,Mighty Yell
Big Crown: Showdown,Hyper Luminal Games
Big Dipper,Top Hat Studios
The Big Journey,Konstructors Entertainment
Big Pharma,Nussoft
Big Rumble Boxing: Creed Champions,Survios
Bike Rider DX,Spicysoft
Bilshana Senki: Genpei Hika Musou,Idea Factory
Billy Bomber,Jakub Lange
Billion Road,Acttil
Binaries,Ant Workshop
Binarystar Infinity,Ricci Cedric Design
The Binding of Isaac: Afterbirth+,Nicalis
The Binding of Isaac: Rebirth,Nicalis
The Binding of Isaac: Repentance,Nicalis
Bingo,"SIMS Co., Ltd."
Biolab Wars,Forever Entertainment
Biomutant,Experiment 101
BioShock,Blind Squirrel Games
BioShock 2,Blind Squirrel Games
BioShock Infinite,Blind Squirrel Games
BioShock: The Collection,Blind Squirrel Games
Biped,Next Studios
Bird Game +,Bryan Tabor
Birds and Blocks,Sprakelsoft
Birthday of Midnight,Petite Games
Bishoujo Battle Cyber Panic!,"EastAsiaSoft, Zoo Corporation"
Bishoujo Battle: Double Strike!,"EastAsiaSoft, Zoo Corporation"
Bishoujo Battle Mahjong Solitaire,"eastasiasoft, ZOO Corporation"
Bit Dungeon Plus,KintoGames
Bite the Bullet,Mega Cat Studios
Bitlogic: A Cyberpunk Arcade Adventure,OXiAB Game Studio
Bitmaster,Sometimes You
Bit.Trip Beat,Choice Provisions
Bit.Trip Core,Choice Provisions
Bit.Trip Fate,Choice Provisions
Bit.Trip Flux,Choice Provisions
Bit.Trip Runner,Choice Provisions
Bit.Trip Void,Choice Provisions
Biz Builder Delux,Kairosoft
Black & White Bushido,Good Catch
Black Bird,Onion Games
Black Book,Morteshka
Black Jack,Sabec
Black Jack World Tour,Dolores Entertainment
Black the Fall,Sand Sailor Studio
Black Future '88,Super Scary Snakes
Black Hole,Dufgames
Black Legend,Warcave
Black Paradox,Fantastico Studio
Black Rainbow,Ocean Media
Black Widow: Recharged,"AdamVision Studios, SneakyBox"
Blackjack Hands,Minimol games
Blackmoor 2,Four Fats
